LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1
9/29/11,9/28/14,ZYNGA INC.,444 DE HARO STREET,SAN FRANCISCO,CA,94107,15-1121,Computer Systems Analysts,SENIOR PRODUCT MANAGER,90000,150000,Year,Y,1,SAN FRANCISCO,CA,77709,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/13,PROHEALTH HOMECARE INC.,2700 ZANKER RD. #180,SAN JOSE,CA,95134,13-2051,Financial Analysts,FINANCIAL  ANALYST,64064,NA,Year,Y,1,SAN JOSE,CA,64064,Year,OES,OFLC ONLINE DATA CENTER,2011
9/29/11,9/28/14,ZYNGA INC.,444 DE HARO STREET,SAN FRANCISCO,CA,94107,15-2031,Operations Research Analysts,OPTIMIZATION ANALYST,75130,1.00E+05,Year,Y,1,SAN FRANCISCO,CA,75130,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,53061,90000,Year,Y,30,AUSTIN,TX,53061,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1131,Computer Programmers,PROGRAMMER ANALYST,45178,90000,Year,Y,15,WEST GREENWICH,RI,45178,Year,Other,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1141,Database Administrators,DATABASE ADMINISTRATOR,50960,80000,Year,Y,5,ATLANTA,GA,50960,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1142,Network and Computer Systems Administrators*,NETWORK ADMINISTRATOR,60611,1.00E+05,Year,Y,5,PRINCETON,NJ,60611,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,54475,90000,Year,Y,5,RALEIGH,NC,54475,Year,Other,OFLC ONLINE DATACENTER,2011
2/9/12,2/8/15,"THE GAP, INC.","2 FOLSOM STREET, 6TH FLOOR",SAN FRANCISCO,CA,94105,27-1022,Fashion Designers,DESIGNER OUTERWEAR,81453,131200,Year,Y,1,MANHATTAN,NY,81453,Year,OES,OFLC ONLINE DATA CENTER,2011
10/24/11,10/23/14,MOZILLA CORPORATION,"650 CASTRO STREET, STE. 300",MOUNTAIN VIEW,CA,94041,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,99653,110000,Year,Y,1,SAN FRANCISCO,CA,92019,Year,OES,OFLC ONLINE DATA CENTER,2011
